Time,Parameter 1,Parameter 2,Parameter 3
2025-06-21 22:15:00,36.98,59.93,6.88
2025-06-21 22:30:00,36.98,59.75,6.88
2025-06-21 22:45:00,37.03,59.70,6.88
2025-06-21 23:00:00,36.97,60.29,6.88
2025-06-21 23:15:00,37.05,60.52,6.88
2025-06-21 23:30:00,37.03,60.26,6.88
2025-06-21 23:45:00,37.07,60.25,6.88
2025-06-22 00:00:00,36.99,60.32,6.88
2025-06-22 00:15:00,37.04,59.62,6.88
2025-06-22 00:30:00,36.96,59.82,6.87
2025-06-22 00:45:00,37.02,60.17,6.87
2025-06-22 01:00:00,37.02,61.21,6.87
2025-06-22 01:15:00,37.00,59.76,6.87
2025-06-22 01:30:00,37.00,59.49,6.87
2025-06-22 01:45:00,37.00,59.78,6.87
2025-06-22 02:00:00,37.04,60.86,6.87
2025-06-22 02:15:00,36.97,59.43,6.87
2025-06-22 02:30:00,37.01,59.90,6.87
2025-06-22 02:45:00,37.03,60.94,6.87
2025-06-22 03:00:00,36.94,61.02,6.87
2025-06-22 03:15:00,37.03,60.09,6.87
2025-06-22 03:30:00,37.08,60.37,6.87
2025-06-22 03:45:00,36.97,60.63,6.87
2025-06-22 04:00:00,36.92,60.25,6.88
2025-06-22 04:15:00,36.97,59.68,6.88
2025-06-22 04:30:00,37.00,59.81,6.88
2025-06-22 04:45:00,37.05,60.62,6.88
2025-06-22 05:00:00,37.06,61.14,6.88
2025-06-22 05:15:00,37.07,59.76,6.88
2025-06-22 05:30:00,37.02,59.05,6.88
2025-06-22 05:45:00,36.93,59.40,6.88
2025-06-22 06:00:00,36.93,60.06,6.88
2025-06-22 06:15:00,37.05,59.99,6.88
2025-06-22 06:30:00,36.97,60.08,6.88
2025-06-22 06:45:00,37.05,59.81,6.88
2025-06-22 07:00:00,37.01,60.35,6.88
2025-06-22 07:15:00,36.98,60.52,6.88
2025-06-22 07:30:00,36.96,59.44,6.88
2025-06-22 07:45:00,37.02,59.36,6.88
2025-06-22 08:00:00,36.94,60.06,6.88
2025-06-22 08:15:00,36.97,59.83,6.88
2025-06-22 08:30:00,36.92,59.90,6.88
2025-06-22 08:45:00,36.97,60.30,6.88
2025-06-22 09:00:00,37.05,60.04,6.88
2025-06-22 09:15:00,37.05,60.35,6.88
2025-06-22 09:30:00,37.07,59.96,6.88
2025-06-22 09:45:00,36.99,59.93,6.88
2025-06-22 10:00:00,36.94,59.93,6.88
2025-06-22 10:15:00,36.97,59.71,6.87
2025-06-22 10:30:00,37.00,60.32,6.87
2025-06-22 10:45:00,37.02,60.67,6.87
2025-06-22 11:00:00,37.07,61.19,6.87
2025-06-22 11:15:00,37.12,60.25,6.87
2025-06-22 11:30:00,36.96,59.72,6.87
2025-06-22 11:45:00,36.95,59.77,6.87
2025-06-22 12:00:00,36.97,58.89,6.87
2025-06-22 12:15:00,36.88,60.28,6.87
2025-06-22 12:30:00,36.96,60.21,6.87
2025-06-22 12:45:00,36.93,59.41,6.87
2025-06-22 13:00:00,37.01,59.20,6.87
2025-06-22 13:15:00,36.98,59.45,6.87
2025-06-22 13:30:00,37.03,59.95,6.87
2025-06-22 13:45:00,36.99,59.44,6.87
2025-06-22 14:00:00,36.99,60.09,6.88
2025-06-22 14:15:00,36.91,59.29,6.88
2025-06-22 14:30:00,37.07,60.44,6.88
2025-06-22 14:45:00,37.07,59.90,6.88
2025-06-22 15:00:00,36.91,59.00,6.88
2025-06-22 15:15:00,36.97,60.40,6.88
2025-06-22 15:30:00,37.00,59.80,6.88
2025-06-22 15:45:00,37.04,59.95,6.88
2025-06-22 16:00:00,37.02,59.39,6.88
2025-06-22 16:15:00,36.97,59.70,6.88
2025-06-22 16:30:00,36.95,59.83,6.88
2025-06-22 16:45:00,37.02,60.05,6.88
2025-06-22 17:00:00,37.03,59.69,6.88
2025-06-22 17:15:00,37.04,59.67,6.88
2025-06-22 17:30:00,36.98,59.72,6.88
2025-06-22 17:45:00,36.98,59.77,6.88
2025-06-22 18:00:00,37.12,59.46,6.88
2025-06-22 18:15:00,36.96,59.12,6.88
2025-06-22 18:30:00,37.05,59.53,6.88
2025-06-22 18:45:00,36.97,60.57,6.88
2025-06-22 19:00:00,36.98,59.68,6.88
2025-06-22 19:15:00,36.90,59.74,6.88
2025-06-22 19:30:00,36.97,59.69,6.88
2025-06-22 19:45:00,37.02,60.34,6.88
2025-06-22 20:00:00,37.07,59.03,6.88
2025-06-22 20:15:00,37.04,60.08,6.88
2025-06-22 20:30:00,36.97,59.92,6.88
2025-06-22 20:45:00,37.05,59.86,6.88
2025-06-22 21:00:00,37.00,59.85,6.88
2025-06-22 21:15:00,37.00,60.36,6.88
2025-06-22 21:30:00,37.00,59.96,6.88
2025-06-22 21:45:00,37.01,60.05,6.88
2025-06-22 22:00:00,36.97,60.30,6.88
2025-06-22 22:15:00,37.00,60.62,6.88
2025-06-22 22:30:00,37.09,60.30,6.88
2025-06-22 22:45:00,37.10,59.76,6.88
2025-06-22 23:00:00,37.03,59.87,6.88
2025-06-22 23:15:00,36.98,59.72,6.88
2025-06-22 23:30:00,37.04,59.69,6.88
2025-06-22 23:45:00,37.03,60.60,6.88
2025-06-23 00:00:00,37.02,59.91,6.88
2025-06-23 00:15:00,37.00,60.04,6.88
2025-06-23 00:30:00,37.02,59.98,6.88
2025-06-23 00:45:00,37.00,60.36,6.88
